> SIRV101
  54:1029|ffe8064b-1498-4cc4-a85a-8fedd1760523_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=109152_ch=435_start_time=2019-04-13T17:47:58Z_strand=-_strand=+ 35 36 193
  55:580|22b86661-8cfe-4709-a1f3-82847cbf09c8_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=7658_ch=487_start_time=2019-04-12T17:19:01Z_strand=-_strand=+ 2 9 115
  55:580|22b86661-8cfe-4709-a1f3-82847cbf09c8_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=7658_ch=487_start_time=2019-04-12T17:19:01Z_strand=-_strand=+ 183 132 51
  55:580|22b86661-8cfe-4709-a1f3-82847cbf09c8_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=7658_ch=487_start_time=2019-04-12T17:19:01Z_strand=-_strand=+ 308 432 192
  110:2129|0290b7a0-ba43-426e-b0b7-3d98a8d8721e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=76560_ch=261_start_time=2019-04-13T12:01:37Z_strand=+_strand=+ 31 14 234
  110:2129|0290b7a0-ba43-426e-b0b7-3d98a8d8721e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=76560_ch=261_start_time=2019-04-13T12:01:37Z_strand=+_strand=+ 281 432 347
  110:2129|0290b7a0-ba43-426e-b0b7-3d98a8d8721e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=76560_ch=261_start_time=2019-04-13T12:01:37Z_strand=+_strand=+ 643 798 224
  110:2129|0290b7a0-ba43-426e-b0b7-3d98a8d8721e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=76560_ch=261_start_time=2019-04-13T12:01:37Z_strand=+_strand=+ 873 1095 527
  110:2129|0290b7a0-ba43-426e-b0b7-3d98a8d8721e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=76560_ch=261_start_time=2019-04-13T12:01:37Z_strand=+_strand=+ 1690 1655 118
  110:2129|0290b7a0-ba43-426e-b0b7-3d98a8d8721e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=76560_ch=261_start_time=2019-04-13T12:01:37Z_strand=+_strand=+ 1844 1808 109
  108:641|4724dc91-b650-4ac4-b589-3148c042433f_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=43080_ch=377_start_time=2019-04-13T01:28:49Z_strand=+_strand=+ 398 213 122
  49:584|03c9eb66-897f-4a89-bd1d-1f679f67123e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=124894_ch=291_start_time=2019-04-13T22:09:09Z_strand=-_strand=+ 89 1626 95
  49:584|03c9eb66-897f-4a89-bd1d-1f679f67123e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=124894_ch=291_start_time=2019-04-13T22:09:09Z_strand=-_strand=+ 264 1727 184
  53:582|84ffbb97-0646-425d-a57b-f907a053c95c_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=50256_ch=349_start_time=2019-04-13T04:59:27Z_strand=-_strand=+ 3 13 109
  53:582|84ffbb97-0646-425d-a57b-f907a053c95c_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=50256_ch=349_start_time=2019-04-13T04:59:27Z_strand=-_strand=+ 179 132 113
  53:582|84ffbb97-0646-425d-a57b-f907a053c95c_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=50256_ch=349_start_time=2019-04-13T04:59:27Z_strand=-_strand=+ 313 442 184
  110:627|386c138f-33b1-4ed1-8726-19a797152d7d_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=35904_ch=412_start_time=2019-04-12T23:52:45Z_strand=+_strand=+ 315 445 182
  94:628|1adeba2f-c9bc-4fbc-92d7-9dc7d3721242_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=31181_ch=78_start_time=2019-04-12T23:16:43Z_strand=+_strand=+ 4 8 105
  94:628|1adeba2f-c9bc-4fbc-92d7-9dc7d3721242_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=31181_ch=78_start_time=2019-04-12T23:16:43Z_strand=+_strand=+ 197 140 108
  94:628|1adeba2f-c9bc-4fbc-92d7-9dc7d3721242_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=31181_ch=78_start_time=2019-04-12T23:16:43Z_strand=+_strand=+ 329 444 176
  122:2155|0bfbfabf-5311-40ec-8c07-c847e692b472_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=44244_ch=300_start_time=2019-04-13T02:52:36Z_strand=+_strand=+ 18 0 232
  122:2155|0bfbfabf-5311-40ec-8c07-c847e692b472_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=44244_ch=300_start_time=2019-04-13T02:52:36Z_strand=+_strand=+ 288 446 408
  122:2155|0bfbfabf-5311-40ec-8c07-c847e692b472_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=44244_ch=300_start_time=2019-04-13T02:52:36Z_strand=+_strand=+ 720 873 151
  122:2155|0bfbfabf-5311-40ec-8c07-c847e692b472_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=44244_ch=300_start_time=2019-04-13T02:52:36Z_strand=+_strand=+ 910 1131 78
  122:2155|0bfbfabf-5311-40ec-8c07-c847e692b472_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=44244_ch=300_start_time=2019-04-13T02:52:36Z_strand=+_strand=+ 1021 1250 196
  122:2155|0bfbfabf-5311-40ec-8c07-c847e692b472_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=44244_ch=300_start_time=2019-04-13T02:52:36Z_strand=+_strand=+ 1231 1458 161
  122:2155|0bfbfabf-5311-40ec-8c07-c847e692b472_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=44244_ch=300_start_time=2019-04-13T02:52:36Z_strand=+_strand=+ 1671 1627 40
  122:2155|0bfbfabf-5311-40ec-8c07-c847e692b472_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=44244_ch=300_start_time=2019-04-13T02:52:36Z_strand=+_strand=+ 1789 1743 98
  122:2155|0bfbfabf-5311-40ec-8c07-c847e692b472_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=44244_ch=300_start_time=2019-04-13T02:52:36Z_strand=+_strand=+ 1921 1878 100
  114:991|690c7205-d86a-4edf-b66c-7c16f8a112e0_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=66434_ch=1_start_time=2019-04-13T06:52:13Z_strand=+_strand=+ 3 1657 109
  114:991|690c7205-d86a-4edf-b66c-7c16f8a112e0_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=66434_ch=1_start_time=2019-04-13T06:52:13Z_strand=+_strand=+ 129 1790 56
> SIRV507
  112:644|45119979-a93d-4903-a9a8-87839274af82_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=85112_ch=377_start_time=2019-04-13T11:35:25Z_strand=+_strand=+ 2 2 230
  112:644|45119979-a93d-4903-a9a8-87839274af82_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=85112_ch=377_start_time=2019-04-13T11:35:25Z_strand=+_strand=+ 248 253 77
  112:644|45119979-a93d-4903-a9a8-87839274af82_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=85112_ch=377_start_time=2019-04-13T11:35:25Z_strand=+_strand=+ 344 350 67
  111:2034|41db0ab9-916e-4d46-8f20-4f974cbe6077_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25379_ch=354_start_time=2019-04-12T21:18:37Z_strand=+_strand=+ 105 293 84
  111:2034|41db0ab9-916e-4d46-8f20-4f974cbe6077_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25379_ch=354_start_time=2019-04-12T21:18:37Z_strand=+_strand=+ 236 425 81
  103:619|928adbe8-90aa-4e09-a437-da8aa954ff83_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=34181_ch=490_start_time=2019-04-12T23:43:42Z_strand=+_strand=+ 7 9 483
  113:651|1100c8ab-664f-4843-ae1b-d3ce74d08925_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=18884_ch=480_start_time=2019-04-12T19:54:24Z_strand=+_strand=+ 0 1 255
  113:651|1100c8ab-664f-4843-ae1b-d3ce74d08925_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=18884_ch=480_start_time=2019-04-12T19:54:24Z_strand=+_strand=+ 289 284 220
  112:642|750a846a-89ca-48ad-902e-6e6a079e895a_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=42526_ch=289_start_time=2019-04-13T00:43:36Z_strand=+_strand=+ 20 21 438
  51:2049|755d7857-da47-4b51-a5df-e161873bd01b_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=20536_ch=480_start_time=2019-04-12T20:20:11Z_strand=-_strand=+ 27 0 99
  51:2049|755d7857-da47-4b51-a5df-e161873bd01b_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=20536_ch=480_start_time=2019-04-12T20:20:11Z_strand=-_strand=+ 140 183 333
  53:603|d204a8ab-1faf-4c72-94da-15cec6c7b1a6_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=85852_ch=282_start_time=2019-04-13T12:04:52Z_strand=-_strand=+ 50 47 468
  54:603|0a63e173-ec9a-4b4b-b78a-9b6fded3b14e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=52016_ch=257_start_time=2019-04-13T03:45:12Z_strand=-_strand=+ 19 0 62
  131:2134|0ec0a614-8384-405f-9449-e44385527e7d_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=22473_ch=164_start_time=2019-04-12T20:30:02Z_strand=+_strand=+ 24 0 114
  131:2134|0ec0a614-8384-405f-9449-e44385527e7d_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=22473_ch=164_start_time=2019-04-12T20:30:02Z_strand=+_strand=+ 142 183 52
  131:2134|0ec0a614-8384-405f-9449-e44385527e7d_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=22473_ch=164_start_time=2019-04-12T20:30:02Z_strand=+_strand=+ 204 245 260
  111:680|e401e609-f303-4e22-945d-a454361a7557_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=61394_ch=124_start_time=2019-04-13T13:06:24Z_strand=+_strand=+ 21 1 93
  103:646|1813e6f2-93ad-4455-8146-87c1ba85ba3f_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=90563_ch=433_start_time=2019-04-13T13:21:19Z_strand=+_strand=+ 77 76 436
  109:671|20f9321b-820c-476f-ba90-9417cd8239af_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=58623_ch=269_start_time=2019-04-13T06:00:44Z_strand=+_strand=+ 18 0 77
  109:628|46224c98-5a2c-49d5-a215-cd1f819353ba_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=27181_ch=499_start_time=2019-04-12T21:43:01Z_strand=+_strand=+ 20 23 462
  108:2046|38c047ca-9e50-4d75-86ce-ee186540e46a_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25390_ch=375_start_time=2019-04-12T21:29:53Z_strand=+_strand=+ 27 1 103
  108:2046|38c047ca-9e50-4d75-86ce-ee186540e46a_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25390_ch=375_start_time=2019-04-12T21:29:53Z_strand=+_strand=+ 164 206 53
  108:2046|38c047ca-9e50-4d75-86ce-ee186540e46a_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25390_ch=375_start_time=2019-04-12T21:29:53Z_strand=+_strand=+ 224 267 241
  57:570|e0e03617-f7d9-4390-a4e4-6edb4fa944d3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=37001_ch=263_start_time=2019-04-13T00:49:23Z_strand=-_strand=+ 0 2 56
  57:570|e0e03617-f7d9-4390-a4e4-6edb4fa944d3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=37001_ch=263_start_time=2019-04-13T00:49:23Z_strand=-_strand=+ 137 145 274
  57:570|e0e03617-f7d9-4390-a4e4-6edb4fa944d3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=37001_ch=263_start_time=2019-04-13T00:49:23Z_strand=-_strand=+ 412 431 73
  102:658|d32e42af-6561-46d9-a2c5-b0f5fe53ef0d_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=7061_ch=182_start_time=2019-04-12T17:09:23Z_strand=+_strand=+ 63 45 49
  106:625|e602bbdd-5505-4734-b2d3-503c6c266833_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=16392_ch=307_start_time=2019-04-12T19:06:45Z_strand=+_strand=+ 2 2 132
  106:625|e602bbdd-5505-4734-b2d3-503c6c266833_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=16392_ch=307_start_time=2019-04-12T19:06:45Z_strand=+_strand=+ 256 265 239
  108:651|48c54c36-a6e9-454f-bab5-9c405a02a100_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=46470_ch=249_start_time=2019-04-13T01:59:48Z_strand=+_strand=+ 29 8 56
  47:2068|a8fc0373-eb5f-46cb-960b-b52a5e85deed_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=78182_ch=136_start_time=2019-04-13T07:17:57Z_strand=-_strand=+ 80 53 64
  47:2068|a8fc0373-eb5f-46cb-960b-b52a5e85deed_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=78182_ch=136_start_time=2019-04-13T07:17:57Z_strand=-_strand=+ 168 205 131
  47:2068|a8fc0373-eb5f-46cb-960b-b52a5e85deed_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=78182_ch=136_start_time=2019-04-13T07:17:57Z_strand=-_strand=+ 367 407 95
  108:2113|173c3f39-62d1-48c3-9c2a-a94948ed294d_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=16722_ch=229_start_time=2019-04-12T19:19:14Z_strand=+_strand=+ 37 10 108
  108:2113|173c3f39-62d1-48c3-9c2a-a94948ed294d_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=16722_ch=229_start_time=2019-04-12T19:19:14Z_strand=+_strand=+ 151 185 329
  55:580|22b86661-8cfe-4709-a1f3-82847cbf09c8_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=7658_ch=487_start_time=2019-04-12T17:19:01Z_strand=-_strand=+ 2 1 498
  110:2129|0290b7a0-ba43-426e-b0b7-3d98a8d8721e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=76560_ch=261_start_time=2019-04-13T12:01:37Z_strand=+_strand=+ 31 6 76
  110:2129|0290b7a0-ba43-426e-b0b7-3d98a8d8721e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=76560_ch=261_start_time=2019-04-13T12:01:37Z_strand=+_strand=+ 153 186 315
  53:582|84ffbb97-0646-425d-a57b-f907a053c95c_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=50256_ch=349_start_time=2019-04-13T04:59:27Z_strand=-_strand=+ 3 5 494
  110:627|386c138f-33b1-4ed1-8726-19a797152d7d_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=35904_ch=412_start_time=2019-04-12T23:52:45Z_strand=+_strand=+ 88 99 106
  110:627|386c138f-33b1-4ed1-8726-19a797152d7d_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=35904_ch=412_start_time=2019-04-12T23:52:45Z_strand=+_strand=+ 315 326 182
  94:628|1adeba2f-c9bc-4fbc-92d7-9dc7d3721242_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=31181_ch=78_start_time=2019-04-12T23:16:43Z_strand=+_strand=+ 4 0 501
  122:2155|0bfbfabf-5311-40ec-8c07-c847e692b472_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=44244_ch=300_start_time=2019-04-13T02:52:36Z_strand=+_strand=+ 26 0 118
  122:2155|0bfbfabf-5311-40ec-8c07-c847e692b472_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=44244_ch=300_start_time=2019-04-13T02:52:36Z_strand=+_strand=+ 151 186 309
> SIRV510
  112:644|45119979-a93d-4903-a9a8-87839274af82_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=85112_ch=377_start_time=2019-04-13T11:35:25Z_strand=+_strand=+ 2 1 92
  112:644|45119979-a93d-4903-a9a8-87839274af82_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=85112_ch=377_start_time=2019-04-13T11:35:25Z_strand=+_strand=+ 248 190 77
  112:644|45119979-a93d-4903-a9a8-87839274af82_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=85112_ch=377_start_time=2019-04-13T11:35:25Z_strand=+_strand=+ 344 287 67
  56:954|a23755a1-d138-489e-8efb-f119e679daf4_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25626_ch=468_start_time=2019-04-12T21:49:08Z_strand=-_strand=+ 35 1443 290
  56:954|a23755a1-d138-489e-8efb-f119e679daf4_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25626_ch=468_start_time=2019-04-12T21:49:08Z_strand=-_strand=+ 335 1919 401
  56:954|a23755a1-d138-489e-8efb-f119e679daf4_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25626_ch=468_start_time=2019-04-12T21:49:08Z_strand=-_strand=+ 766 2349 98
  111:2034|41db0ab9-916e-4d46-8f20-4f974cbe6077_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25379_ch=354_start_time=2019-04-12T21:18:37Z_strand=+_strand=+ 105 230 84
  111:2034|41db0ab9-916e-4d46-8f20-4f974cbe6077_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25379_ch=354_start_time=2019-04-12T21:18:37Z_strand=+_strand=+ 236 362 81
  111:2034|41db0ab9-916e-4d46-8f20-4f974cbe6077_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25379_ch=354_start_time=2019-04-12T21:18:37Z_strand=+_strand=+ 336 462 85
  111:2034|41db0ab9-916e-4d46-8f20-4f974cbe6077_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25379_ch=354_start_time=2019-04-12T21:18:37Z_strand=+_strand=+ 496 631 215
  111:2034|41db0ab9-916e-4d46-8f20-4f974cbe6077_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25379_ch=354_start_time=2019-04-12T21:18:37Z_strand=+_strand=+ 796 864 159
  111:2034|41db0ab9-916e-4d46-8f20-4f974cbe6077_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25379_ch=354_start_time=2019-04-12T21:18:37Z_strand=+_strand=+ 1118 1191 42
  111:2034|41db0ab9-916e-4d46-8f20-4f974cbe6077_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25379_ch=354_start_time=2019-04-12T21:18:37Z_strand=+_strand=+ 1195 1270 101
  111:2034|41db0ab9-916e-4d46-8f20-4f974cbe6077_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25379_ch=354_start_time=2019-04-12T21:18:37Z_strand=+_strand=+ 1595 1409 245
  103:619|928adbe8-90aa-4e09-a437-da8aa954ff83_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=34181_ch=490_start_time=2019-04-12T23:43:42Z_strand=+_strand=+ 7 8 110
  103:619|928adbe8-90aa-4e09-a437-da8aa954ff83_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=34181_ch=490_start_time=2019-04-12T23:43:42Z_strand=+_strand=+ 193 137 297
  113:651|1100c8ab-664f-4843-ae1b-d3ce74d08925_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=18884_ch=480_start_time=2019-04-12T19:54:24Z_strand=+_strand=+ 0 0 115
  113:651|1100c8ab-664f-4843-ae1b-d3ce74d08925_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=18884_ch=480_start_time=2019-04-12T19:54:24Z_strand=+_strand=+ 183 122 72
  113:651|1100c8ab-664f-4843-ae1b-d3ce74d08925_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=18884_ch=480_start_time=2019-04-12T19:54:24Z_strand=+_strand=+ 289 221 220
  112:642|750a846a-89ca-48ad-902e-6e6a079e895a_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=42526_ch=289_start_time=2019-04-13T00:43:36Z_strand=+_strand=+ 20 20 89
  112:642|750a846a-89ca-48ad-902e-6e6a079e895a_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=42526_ch=289_start_time=2019-04-13T00:43:36Z_strand=+_strand=+ 180 125 278
  51:2049|755d7857-da47-4b51-a5df-e161873bd01b_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=20536_ch=480_start_time=2019-04-12T20:20:11Z_strand=-_strand=+ 28 0 1340
  51:2049|755d7857-da47-4b51-a5df-e161873bd01b_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=20536_ch=480_start_time=2019-04-12T20:20:11Z_strand=-_strand=+ 1643 1388 344
  53:603|d204a8ab-1faf-4c72-94da-15cec6c7b1a6_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=85852_ch=282_start_time=2019-04-13T12:04:52Z_strand=-_strand=+ 50 46 70
  53:603|d204a8ab-1faf-4c72-94da-15cec6c7b1a6_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=85852_ch=282_start_time=2019-04-13T12:04:52Z_strand=-_strand=+ 189 122 329
  54:603|0a63e173-ec9a-4b4b-b78a-9b6fded3b14e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=52016_ch=257_start_time=2019-04-13T03:45:12Z_strand=-_strand=+ 21 1 60
  54:603|0a63e173-ec9a-4b4b-b78a-9b6fded3b14e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=52016_ch=257_start_time=2019-04-13T03:45:12Z_strand=-_strand=+ 126 119 37
  131:2134|0ec0a614-8384-405f-9449-e44385527e7d_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=22473_ch=164_start_time=2019-04-12T20:30:02Z_strand=+_strand=+ 25 0 169
  131:2134|0ec0a614-8384-405f-9449-e44385527e7d_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=22473_ch=164_start_time=2019-04-12T20:30:02Z_strand=+_strand=+ 204 182 440
  131:2134|0ec0a614-8384-405f-9449-e44385527e7d_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=22473_ch=164_start_time=2019-04-12T20:30:02Z_strand=+_strand=+ 652 632 594
  131:2134|0ec0a614-8384-405f-9449-e44385527e7d_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=22473_ch=164_start_time=2019-04-12T20:30:02Z_strand=+_strand=+ 1254 1242 128
  131:2134|0ec0a614-8384-405f-9449-e44385527e7d_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=22473_ch=164_start_time=2019-04-12T20:30:02Z_strand=+_strand=+ 1642 1372 104
